word1,word2,n,date
covid,19,30630,2022-01-29T00:00:00Z
covid,test,3784,2022-01-29T00:00:00Z
covid,vaccine,3394,2022-01-29T00:00:00Z
covid,deaths,2665,2022-01-29T00:00:00Z
joe,rogan,2277,2022-01-29T00:00:00Z
tested,positive,2003,2022-01-29T00:00:00Z
covid,vaccines,1805,2022-01-29T00:00:00Z
19,vaccine,1780,2022-01-29T00:00:00Z
public,health,1601,2022-01-29T00:00:00Z
covid,restrictions,1551,2022-01-29T00:00:00Z
joni,mitchell,1522,2022-01-29T00:00:00Z
covid,misinformation,1451,2022-01-29T00:00:00Z
covid,tests,1417,2022-01-29T00:00:00Z
global,pandemic,1247,2022-01-29T00:00:00Z
covid,patients,1233,2022-01-29T00:00:00Z
covid,positive,1213,2022-01-29T00:00:00Z
19,pandemic,1122,2022-01-29T00:00:00Z
post,covid,1061,2022-01-29T00:00:00Z
vaccine,mandate,1060,2022-01-29T00:00:00Z
vaccine,mandates,1018,2022-01-29T00:00:00Z
covid,death,993,2022-01-29T00:00:00Z
anti,vax,948,2022-01-29T00:00:00Z
caught,covid,945,2022-01-29T00:00:00Z
health,care,936,2022-01-29T00:00:00Z
natural,immunity,918,2022-01-29T00:00:00Z
catch,covid,875,2022-01-29T00:00:00Z
mental,health,819,2022-01-29T00:00:00Z
19,vaccines,790,2022-01-29T00:00:00Z
spread,covid,788,2022-01-29T00:00:00Z
03,30pm,776,2022-01-29T00:00:00Z
covid,related,772,2022-01-29T00:00:00Z
1,5,771,2022-01-29T00:00:00Z
covid,free,769,2022-01-29T00:00:00Z
02,30pm,759,2022-01-29T00:00:00Z
30pm,02,757,2022-01-29T00:00:00Z
omicron,variant,756,2022-01-29T00:00:00Z
spreading,covid,733,2022-01-29T00:00:00Z
covid,variant,712,2022-01-29T00:00:00Z
40pm,02,704,2022-01-29T00:00:00Z
covid,rules,697,2022-01-29T00:00:00Z
02,50pm,694,2022-01-29T00:00:00Z
20pm,02,686,2022-01-29T00:00:00Z
30pm,03,679,2022-01-29T00:00:00Z
positive,covid,678,2022-01-29T00:00:00Z
immune,system,671,2022-01-29T00:00:00Z
00pm,03,670,2022-01-29T00:00:00Z
02,40pm,666,2022-01-29T00:00:00Z
prime,minister,653,2022-01-29T00:00:00Z
03,00pm,652,2022-01-29T00:00:00Z
19,vaccination,634,2022-01-29T00:00:00Z
03,20pm,619,2022-01-29T00:00:00Z
50pm,03,615,2022-01-29T00:00:00Z
jan,29,615,2022-01-29T00:00:00Z
vaccinated,people,614,2022-01-29T00:00:00Z
covid,omicron,606,2022-01-29T00:00:00Z
12,30pm,605,2022-01-29T00:00:00Z
2,weeks,594,2022-01-29T00:00:00Z
pre,covid,593,2022-01-29T00:00:00Z
anti,vaxxers,592,2022-01-29T00:00:00Z
20pm,03,591,2022-01-29T00:00:00Z
catching,covid,589,2022-01-29T00:00:00Z
sarah,palin,586,2022-01-29T00:00:00Z
03,10pm,585,2022-01-29T00:00:00Z
covid,symptoms,582,2022-01-29T00:00:00Z
covid,mandates,581,2022-01-29T00:00:00Z
10pm,03,579,2022-01-29T00:00:00Z
ba,2,578,2022-01-29T00:00:00Z
24,hours,572,2022-01-29T00:00:00Z
03,40pm,562,2022-01-29T00:00:00Z
social,media,556,2022-01-29T00:00:00Z
free,covid,551,2022-01-29T00:00:00Z
pandemic,started,548,2022-01-29T00:00:00Z
29,2022,543,2022-01-29T00:00:00Z
home,covid,543,2022-01-29T00:00:00Z
1,2,532,2022-01-29T00:00:00Z
12,40pm,528,2022-01-29T00:00:00Z
covid,protocols,528,2022-01-29T00:00:00Z
robert,lamay,524,2022-01-29T00:00:00Z
stay,home,521,2022-01-29T00:00:00Z
10pm,02,519,2022-01-29T00:00:00Z
19,deaths,517,2022-01-29T00:00:00Z
covid,infection,515,2022-01-29T00:00:00Z
02,20pm,514,2022-01-29T00:00:00Z
death,rate,513,2022-01-29T00:00:00Z
covid,testing,507,2022-01-29T00:00:00Z
covid,pandemic,506,2022-01-29T00:00:00Z
covid,isn,501,2022-01-29T00:00:00Z
