word1,word2,n,date
covid,19,42794,2021-05-16T00:00:00Z
covid,vaccine,4759,2021-05-16T00:00:00Z
19,vaccine,3231,2021-05-16T00:00:00Z
whatshappeninginmyanmar,may16coup,2462,2021-05-16T00:00:00Z
may16coup,humansarenotshields,2461,2021-05-16T00:00:00Z
indian,variant,2120,2021-05-16T00:00:00Z
covid,patients,2009,2021-05-16T00:00:00Z
19,pandemic,1831,2021-05-16T00:00:00Z
stay,home,1799,2021-05-16T00:00:00Z
post,covid,1760,2021-05-16T00:00:00Z
covid,deaths,1699,2021-05-16T00:00:00Z
covid,vaccines,1492,2021-05-16T00:00:00Z
covid,test,1468,2021-05-16T00:00:00Z
covid,restrictions,1336,2021-05-16T00:00:00Z
global,pandemic,1307,2021-05-16T00:00:00Z
covid,positive,1248,2021-05-16T00:00:00Z
paper,protest,1245,2021-05-16T00:00:00Z
silenced,paper,1245,2021-05-16T00:00:00Z
mohnyin,university,1243,2021-05-16T00:00:00Z
university,kachin,1242,2021-05-16T00:00:00Z
kachin,whatshappeninginmyanmar,1238,2021-05-16T00:00:00Z
stop,protesting,1222,2021-05-16T00:00:00Z
agricultural,university,1221,2021-05-16T00:00:00Z
dictatorship,strike,1221,2021-05-16T00:00:00Z
yezin,agricultural,1221,2021-05-16T00:00:00Z
university,whatshappeninginmyanmar,1219,2021-05-16T00:00:00Z
mental,health,1210,2021-05-16T00:00:00Z
anti,lockdown,1201,2021-05-16T00:00:00Z
public,health,1169,2021-05-16T00:00:00Z
covid,shot,1150,2021-05-16T00:00:00Z
post,pandemic,1115,2021-05-16T00:00:00Z
covid,situation,1089,2021-05-16T00:00:00Z
pandemic,situation,1061,2021-05-16T00:00:00Z
19,vaccines,1050,2021-05-16T00:00:00Z
social,distancing,1050,2021-05-16T00:00:00Z
vaccinated,people,1012,2021-05-16T00:00:00Z
covid,relief,1011,2021-05-16T00:00:00Z
covid,crisis,919,2021-05-16T00:00:00Z
covid,vaccination,912,2021-05-16T00:00:00Z
boris,johnson,883,2021-05-16T00:00:00Z
19,vaccination,866,2021-05-16T00:00:00Z
covid,variant,854,2021-05-16T00:00:00Z
tested,positive,852,2021-05-16T00:00:00Z
wear,masks,840,2021-05-16T00:00:00Z
covid,pandemic,820,2021-05-16T00:00:00Z
indian,covid,819,2021-05-16T00:00:00Z
pm,modi,819,2021-05-16T00:00:00Z
stay,safe,793,2021-05-16T00:00:00Z
covid,rules,761,2021-05-16T00:00:00Z
wearing,masks,760,2021-05-16T00:00:00Z
covid,related,754,2021-05-16T00:00:00Z
covid,affected,753,2021-05-16T00:00:00Z
wuhan,lab,749,2021-05-16T00:00:00Z
covid,death,702,2021-05-16T00:00:00Z
health,care,694,2021-05-16T00:00:00Z
social,media,692,2021-05-16T00:00:00Z
24,hours,684,2021-05-16T00:00:00Z
19,patients,680,2021-05-16T00:00:00Z
matt,hancock,670,2021-05-16T00:00:00Z
gt,gt,665,2021-05-16T00:00:00Z
1,2,658,2021-05-16T00:00:00Z
black,fungus,658,2021-05-16T00:00:00Z
covid,care,638,2021-05-16T00:00:00Z
cvs,pharmacy,632,2021-05-16T00:00:00Z
covid19,pandemic,626,2021-05-16T00:00:00Z
mohfw,india,623,2021-05-16T00:00:00Z
covid,patient,618,2021-05-16T00:00:00Z
registration,link,609,2021-05-16T00:00:00Z
2,weeks,608,2021-05-16T00:00:00Z
