word1,word2,n,date
covid,19,58497,2021-05-08T00:00:00Z
covid,vaccine,6342,2021-05-08T00:00:00Z
19,vaccine,4718,2021-05-08T00:00:00Z
stay,safe,2901,2021-05-08T00:00:00Z
covid,positive,2673,2021-05-08T00:00:00Z
covid,patients,2518,2021-05-08T00:00:00Z
19,pandemic,2314,2021-05-08T00:00:00Z
covid,crisis,2142,2021-05-08T00:00:00Z
covid,deaths,2097,2021-05-08T00:00:00Z
covid,vaccines,2090,2021-05-08T00:00:00Z
19,vaccines,1948,2021-05-08T00:00:00Z
may8coup,whatshappeninginmyanmar,1776,2021-05-08T00:00:00Z
19,protective,1770,2021-05-08T00:00:00Z
donated,covid,1769,2021-05-08T00:00:00Z
public,markets,1766,2021-05-08T00:00:00Z
protective,equipments,1763,2021-05-08T00:00:00Z
wynemaw,donated,1759,2021-05-08T00:00:00Z
whatshappeninginmyanmar,wesupportnug,1753,2021-05-08T00:00:00Z
post,covid,1731,2021-05-08T00:00:00Z
global,pandemic,1697,2021-05-08T00:00:00Z
covid,test,1633,2021-05-08T00:00:00Z
tested,positive,1603,2021-05-08T00:00:00Z
covid,shot,1553,2021-05-08T00:00:00Z
public,health,1492,2021-05-08T00:00:00Z
anti,covid,1429,2021-05-08T00:00:00Z
civilians,helping,1387,2021-05-08T00:00:00Z
coup,youths,1387,2021-05-08T00:00:00Z
covid,situation,1384,2021-05-08T00:00:00Z
covid,pandemic,1357,2021-05-08T00:00:00Z
complete,lockdown,1328,2021-05-08T00:00:00Z
covid,vaccination,1283,2021-05-08T00:00:00Z
post,pandemic,1281,2021-05-08T00:00:00Z
19,vaccination,1201,2021-05-08T00:00:00Z
mental,health,1177,2021-05-08T00:00:00Z
covid,relief,1171,2021-05-08T00:00:00Z
covid,restrictions,1147,2021-05-08T00:00:00Z
social,distancing,1053,2021-05-08T00:00:00Z
mohfw,india,1006,2021-05-08T00:00:00Z
covid,patient,1004,2021-05-08T00:00:00Z
tamil,nadu,990,2021-05-08T00:00:00Z
wuhan,lab,990,2021-05-08T00:00:00Z
covid,drug,936,2021-05-08T00:00:00Z
covid,care,929,2021-05-08T00:00:00Z
24,hours,873,2021-05-08T00:00:00Z
19,patients,860,2021-05-08T00:00:00Z
pm,modi,860,2021-05-08T00:00:00Z
registration,link,849,2021-05-08T00:00:00Z
pandemic,situation,843,2021-05-08T00:00:00Z
appointments,detected,838,2021-05-08T00:00:00Z
detected,provider,838,2021-05-08T00:00:00Z
stay,home,836,2021-05-08T00:00:00Z
covid,death,831,2021-05-08T00:00:00Z
19,deaths,822,2021-05-08T00:00:00Z
death,toll,817,2021-05-08T00:00:00Z
1,2,804,2021-05-08T00:00:00Z
covid,related,802,2021-05-08T00:00:00Z
2,weeks,779,2021-05-08T00:00:00Z
health,care,762,2021-05-08T00:00:00Z
covid19,pandemic,760,2021-05-08T00:00:00Z
social,media,749,2021-05-08T00:00:00Z
coronavirus,pandemic,744,2021-05-08T00:00:00Z
cvs,pharmacy,720,2021-05-08T00:00:00Z
kangana,ranaut,719,2021-05-08T00:00:00Z
herd,immunity,718,2021-05-08T00:00:00Z
task,force,709,2021-05-08T00:00:00Z
amid,covid,707,2021-05-08T00:00:00Z
pharmacy,city,704,2021-05-08T00:00:00Z
provider,cvs,704,2021-05-08T00:00:00Z
recovered,plasma,679,2021-05-08T00:00:00Z
tests,positive,676,2021-05-08T00:00:00Z
covid,ve,675,2021-05-08T00:00:00Z
prime,minister,660,2021-05-08T00:00:00Z
19,recovered,646,2021-05-08T00:00:00Z
covid,hospital,641,2021-05-08T00:00:00Z
wuhan,virus,638,2021-05-08T00:00:00Z
covid,protocols,637,2021-05-08T00:00:00Z
14,days,635,2021-05-08T00:00:00Z
